Title,Subtitle,Narrated By,Series,Length,Release Date,Language,Ratings
Pour Your Heart into It,How Starbucks Built a Company One Cup at a Time,Narrated by: Eric Conger,,Length: 2 hrs and 55 mins,Release date: 07-16-07,Language: English,"4.5 out of 5 stars
1,184 ratings"
Americana,A 400-Year History of American Capitalism,"Narrated by: Scott Brick, Bhu Srinivasan",,Length: 21 hrs and 18 mins,Release date: 09-26-17,Language: English,"4.5 out of 5 stars
592 ratings"
Living a Committed Life,Finding Freedom and Fulfillment in a Purpose Larger Than Yourself,Narrated by: Lynne Twist,,Length: 6 hrs and 19 mins,Release date: 10-04-22,Language: English,"5 out of 5 stars
33 ratings"
Rough Sleepers,Dr. Jim O’Connell’s Urgent Mission to Bring Healing to Homeless People,Narrated by: Tracy Kidder,,Length: 8 hrs and 41 mins,Release date: 01-17-23,Language: English,"5 out of 5 stars
70 ratings"
How to Day Trade for a Living,"A Beginner's Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology",Narrated by: Kevin Foley,,Length: 6 hrs and 56 mins,Release date: 08-14-17,Language: English,"4.5 out of 5 stars
1,258 ratings"
How Full Is Your Bucket? Anniversary Edition,,"Narrated by: Tom Rath, Jeff Cummings - preface foreword",,Length: 1 hr and 42 mins,Release date: 12-27-15,Language: English,"4.5 out of 5 stars
568 ratings"
Drawdown,The Most Comprehensive Plan Ever Proposed to Reverse Global Warming,Narrated by: Christopher Solimene,,Length: 18 hrs and 53 mins,Release date: 05-23-17,Language: English,"4.5 out of 5 stars
250 ratings"
Thank You for Being Late,An Optimist's Guide to Thriving in the Age of Accelerations,Narrated by: Oliver Wyman,,Length: 19 hrs and 47 mins,Release date: 11-22-16,Language: English,"4.5 out of 5 stars
3,325 ratings"
Currency Wars,The Making of the Next Global Crises,Narrated by: Walter Dixon,,Length: 9 hrs and 52 mins,Release date: 12-07-11,Language: English,"4.5 out of 5 stars
1,739 ratings"
The Big Con,"How the Consulting Industry Weakens Our Businesses, Infantilizes Our Governments, and Warps Our Economies",Narrated by: Amy Finegan,,Length: 8 hrs and 55 mins,Release date: 03-07-23,Language: English,"4 out of 5 stars
6 ratings"
The Great Silver Bull,Crush Inflation and Profit as the Dollar Dies,Narrated by: Peter Krauth,,Length: 8 hrs and 22 mins,Release date: 12-30-22,Language: English,"5 out of 5 stars
4 ratings"
Fed Up,An Insider's Take on Why the Federal Reserve Is Bad for America,Narrated by: Danielle DiMartino Booth,,Length: 9 hrs and 57 mins,Release date: 02-14-17,Language: English,"4.5 out of 5 stars
825 ratings"
Lords of Finance,The Bankers Who Broke the World,Narrated by: Stephen Hoye,,Length: 18 hrs and 32 mins,Release date: 04-13-09,Language: English,"4.5 out of 5 stars
1,615 ratings"
An American Sickness,How Healthcare Became Big Business and How You Can Take It Back,Narrated by: Nancy Linari,,Length: 13 hrs and 38 mins,Release date: 04-11-17,Language: English,"4.5 out of 5 stars
971 ratings"
American Icon,Alan Mulally and the Fight to Save Ford Motor Company,Narrated by: Pete Larkin,,Length: 14 hrs and 45 mins,Release date: 06-04-12,Language: English,"4.5 out of 5 stars
2,220 ratings"
Black Edge,"Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street",Narrated by: Kaleo Griffith,,Length: 12 hrs and 32 mins,Release date: 03-28-17,Language: English,"4.5 out of 5 stars
2,143 ratings"
"Start Late, Finish Rich",A No-Fail Plan for Achieving Financial Freedom at Any Age,Narrated by: Michael Kramer,,Length: 11 hrs and 17 mins,Release date: 02-16-05,Language: English,"4.5 out of 5 stars
591 ratings"
Shark Tales,"How I Turned $1,000 into a Billion Dollar Business",Narrated by: Barbara Corcoran,,Length: 5 hrs,Release date: 03-23-11,Language: English,"4.5 out of 5 stars
728 ratings"
The Crash Course (2nd Edition),"An Honest Approach to Facing the Future of Our Economy, Energy, and Environment",Narrated by: Todd McLaren,,Length: 12 hrs and 23 mins,Release date: 03-28-23,Language: English,"4.5 out of 5 stars
4 ratings"
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,,Narrated by: MJ DeMarco,,Length: 12 hrs and 46 mins,Release date: 08-11-15,Language: English,"4.5 out of 5 stars
7,963 ratings"
Scale: A Successful Agent’s Guide to Leveling Up a Real Estate Business,"Top-Producing Real Estate Agent, Book 3",Narrated by: Cliff Ponder,,Length: 12 hrs and 3 mins,Release date: 02-16-23,Language: English,"5 out of 5 stars
1 rating"
"Stocks for the Long Run, 6th Edition",,Narrated by: Chris Abernathy,,Length: 13 hrs and 41 mins,Release date: 12-27-22,Language: English,"4 out of 5 stars
11 ratings"
"Poverty, by America",,Narrated by: Dion Graham,,Length: 5 hrs and 40 mins,Release date: 03-21-23,Language: English,"4.5 out of 5 stars
65 ratings"
The Old Money Book: How to Live Better While Spending Less,Secrets of America's Upper Class,Narrated by: Moe Egan,,Length: 3 hrs and 50 mins,Release date: 07-08-16,Language: English,"4.5 out of 5 stars
259 ratings"
America's Bank,The Epic Struggle to Create the Federal Reserve,Narrated by: Robertson Dean,,Length: 9 hrs and 39 mins,Release date: 10-20-15,Language: English,"4.5 out of 5 stars
404 ratings"
The Top 10 Distinctions Between Millionaires and the Middle Class,,Narrated by: Sean Pratt,,Length: 1 hr and 44 mins,Release date: 08-15-07,Language: English,"4.5 out of 5 stars
927 ratings"
The Four Spiritual Laws of Prosperity,A Simple Guide to Unlimited Abundance,Narrated by: Edwene Gaines,,Length: 6 hrs,Release date: 10-11-06,Language: English,"4.5 out of 5 stars
726 ratings"
How to Build a Billion Dollar App,Discover the secrets of the most successful entrepreneurs of our time,Narrated by: Christopher Ragland,,Length: 12 hrs and 5 mins,Release date: 04-06-17,Language: English,"4.5 out of 5 stars
377 ratings"
Central Banking 101,,Narrated by: Bill Anciaux,,Length: 4 hrs and 49 mins,Release date: 02-15-23,Language: English,"4.5 out of 5 stars
4 ratings"
The Buy Side,A Wall Street Trader's Tale of Spectacular Excess,Narrated by: Turney Duff,,Length: 8 hrs and 42 mins,Release date: 06-04-13,Language: English,"4.5 out of 5 stars
1,702 ratings"
30-Day Stay,A Real Estate Investor’s Guide to Mastering the Medium-Term Rental,Narrated by: Sara Van Beckum,,Length: 8 hrs and 55 mins,Release date: 11-10-22,Language: English,"5 out of 5 stars
105 ratings"
Flash Boys,A Wall Street Revolt,Narrated by: Dylan Baker,,Length: 10 hrs and 15 mins,Release date: 03-31-14,Language: English,"4.5 out of 5 stars
9,750 ratings"
Weathering,The Extraordinary Stress of Ordinary Life in an Unjust Society,Narrated by: Alma Cuervo,,Length: 13 hrs and 3 mins,Release date: 03-28-23,Language: English,"4 out of 5 stars
2 ratings"
Guide to Investing in Gold and Silver,Protect Your Financial Future,Narrated by: Michael Maloney,,Length: 7 hrs and 29 mins,Release date: 05-30-17,Language: English,"5 out of 5 stars
787 ratings"
The Definitive Guide to Underwriting Multifamily Acquisitions,Develop the Skills to Confidently Analyze and Invest in Multifamily Real Estate,Narrated by: Rob Beardsley,,Length: 2 hrs and 12 mins,Release date: 01-10-23,Language: English,"5 out of 5 stars
4 ratings"
The Most Important Thing,Uncommon Sense for The Thoughtful Investor,Narrated by: John FitzGibbon,,Length: 7 hrs and 9 mins,Release date: 08-22-12,Language: English,"4.5 out of 5 stars
2,207 ratings"
The Rational Optimist,How Prosperity Evolves,Narrated by: L. J. Ganser,,Length: 13 hrs and 37 mins,Release date: 05-18-10,Language: English,"4.5 out of 5 stars
2,367 ratings"
Taxes Have Consequences,An Income Tax History of the United States,Narrated by: Rick Adamson,,Length: 14 hrs and 5 mins,Release date: 10-18-22,Language: English,"4.5 out of 5 stars
15 ratings"
The Little Book That Still Beats the Market,,Narrated by: Adam Grupper,,Length: 3 hrs and 51 mins,Release date: 09-14-10,Language: English,"4.5 out of 5 stars
1,928 ratings"
Look Before You LIRP,"Why All Life Insurance Retirement Plans Are Not Created Equal, and How to Find the Right One for You",Narrated by: Jeremy Vore,,Length: 2 hrs and 37 mins,Release date: 07-29-16,Language: English,"4.5 out of 5 stars
266 ratings"
The ONE Thing,The Surprisingly Simple Truth Behind Extraordinary Results,"Narrated by: Timothy Miller, Claire Hamilton",,Length: 5 hrs and 24 mins,Release date: 10-08-13,Language: English,"4.5 out of 5 stars
1,880 ratings"
The White Coat Investor,A Doctor's Guide to Personal Finance and Investing,Narrated by: Troy W. Hudson,,Length: 4 hrs and 47 mins,Release date: 10-11-16,Language: English,"5 out of 5 stars
1,219 ratings"
Reminiscences of a Stock Operator,,Narrated by: Rick Rohan,,Length: 9 hrs and 52 mins,Release date: 01-29-07,Language: English,"4.5 out of 5 stars
3,153 ratings"
Tao of Charlie Munger,"A Compilation of Quotes from Berkshire Hathaway's Vice Chairman on Life, Business, and the Pursuit of Wealth with Commentary by David Clark",Narrated by: Arthur Morey,,Length: 4 hrs and 2 mins,Release date: 01-03-17,Language: English,"4.5 out of 5 stars
677 ratings"
The Four Tendencies,"The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better, Too)",Narrated by: Gretchen Rubin,,Length: 6 hrs and 37 mins,Release date: 09-12-17,Language: English,"4.5 out of 5 stars
2,198 ratings"
Best Loser Wins,Why Normal Thinking Never Wins the Trading Game,Narrated by: Richard Faymonville,,Length: 6 hrs and 48 mins,Release date: 07-18-22,Language: English,"5 out of 5 stars
628 ratings"
The Ascent of Money,A Financial History of the World,Narrated by: Simon Prebble,,Length: 11 hrs and 27 mins,Release date: 12-12-08,Language: English,"4 out of 5 stars
3,281 ratings"
The Crisis of Democratic Capitalism,,Narrated by: John Lee,,Length: 13 hrs and 17 mins,Release date: 02-07-23,Language: English,"4 out of 5 stars
6 ratings"
The Book on Rental Property Investing,How to Create Wealth and Passive Income Through Smart Buy & Hold Real Estate Investing,Narrated by: Brandon Turner,,Length: 11 hrs and 38 mins,Release date: 12-10-15,Language: English,"5 out of 5 stars
10,454 ratings"
Money: Master the Game,7 Simple Steps to Financial Freedom,"Narrated by: Tony Robbins, Jeremy Bobb",,Length: 21 hrs and 3 mins,Release date: 11-18-14,Language: English,"4.5 out of 5 stars
14,544 ratings"
The Dealmaker,"How to Succeed in Business & Life Through Dedication, Determination & Disruption",Narrated by: Mauricio Umansky,,Length: 4 hrs and 58 mins,Release date: 04-11-23,Language: English,"4.5 out of 5 stars
11 ratings"
The Education of a Value Investor,"My Transformative Quest for Wealth, Wisdom and Enlightenment",Narrated by: Malk Williams,,Length: 6 hrs and 28 mins,Release date: 11-25-14,Language: English,"4.5 out of 5 stars
1,928 ratings"
Sacred Economics,"Money, Gift, and Society in the Age of Transition",Narrated by: Steve Wojtas,,Length: 15 hrs and 5 mins,Release date: 05-16-17,Language: English,"4.5 out of 5 stars
219 ratings"
The Wealthy Barber,Everyone’s Commonsense Guide to Becoming Financially Independent,Narrated by: L. J. Ganser,,Length: 6 hrs and 53 mins,Release date: 06-17-11,Language: English,"4.5 out of 5 stars
786 ratings"
Work Rules!,Insights from Inside Google That Will Transform How You Live and Lead,Narrated by: Laszlo Bock,,Length: 11 hrs and 26 mins,Release date: 04-07-15,Language: English,"4.5 out of 5 stars
2,487 ratings"
Wealth Warrior,8 Steps for Communities of Color to Conquer the Stock Market,Narrated by: Linda Garcia,,Length: 7 hrs and 33 mins,Release date: 04-11-23,Language: English,"5 out of 5 stars
2 ratings"
The Creature from Jekyll Island,A Second Look at the Federal Reserve,Narrated by: Mark Bramhall,,Length: 24 hrs and 21 mins,Release date: 07-18-13,Language: English,"4.5 out of 5 stars
5,329 ratings"
Homelessness Is a Housing Problem,How Structural Factors Explain U.S. Patterns,Narrated by: Adam Verner,,Length: 6 hrs and 22 mins,Release date: 02-21-23,Language: English,"4.5 out of 5 stars
3 ratings"
Broke Millennial,Stop Scraping By and Get Your Financial Life Together,Narrated by: Erin Lowry,,Length: 8 hrs and 48 mins,Release date: 05-02-17,Language: English,"4.5 out of 5 stars
437 ratings"
This Changes Everything,Capitalism vs. the Climate,Narrated by: Ellen Archer,,Length: 20 hrs and 44 mins,Release date: 09-16-14,Language: English,"4.5 out of 5 stars
1,569 ratings"
Where You'll Find Me,"Risk, Decisions, and the Last Climb of Kate Matrosova",Narrated by: Lee Goettl,,Length: 6 hrs and 8 mins,Release date: 06-14-22,Language: English,"5 out of 5 stars
58 ratings"
The Moral Case for Fossil Fuels,,Narrated by: Alex Epstein,,Length: 6 hrs and 11 mins,Release date: 02-24-15,Language: English,"5 out of 5 stars
1,653 ratings"
Chip War,The Quest to Dominate the World's Most Critical Technology,Narrated by: Stephen Graybill,,Length: 12 hrs and 38 mins,Release date: 10-04-22,Language: English,"5 out of 5 stars
1,091 ratings"
Entrusted,Building a Legacy That Lasts,Narrated by: Andrew L. Howell,,Length: 5 hrs and 28 mins,Release date: 01-06-16,Language: English,"4.5 out of 5 stars
98 ratings"
The Science of Getting Rich,,Narrated by: Jim Roberts,,Length: 2 hrs and 28 mins,Release date: 03-17-09,Language: English,"4.5 out of 5 stars
4,168 ratings"
The Price of Time,The Real Story of Interest,Narrated by: Luis Soto,,Length: 15 hrs and 7 mins,Release date: 08-16-22,Language: English,"4.5 out of 5 stars
137 ratings"
Misbehaving,The Making of Behavioral Economics,Narrated by: L. J. Ganser,,Length: 13 hrs and 35 mins,Release date: 05-18-15,Language: English,"4.5 out of 5 stars
6,359 ratings"
Grunch of Giants,,Narrated by: Andrew Heyl,,Length: 3 hrs and 25 mins,Release date: 07-24-17,Language: English,"4.5 out of 5 stars
773 ratings"
The Barefoot Investor,The Only Money Guide You'll Ever Need,Narrated by: Scott Pape,,Length: 7 hrs and 7 mins,Release date: 01-01-17,Language: English,"4.5 out of 5 stars
1,268 ratings"
Start-Up Nation,The Story of Israel's Economic Miracle,Narrated by: Sean Pratt,,Length: 8 hrs and 24 mins,Release date: 11-02-09,Language: English,"4.5 out of 5 stars
1,452 ratings"
Predictably Irrational,The Hidden Forces That Shape Our Decisions,Narrated by: Simon Jones,,Length: 7 hrs and 22 mins,Release date: 02-19-08,Language: English,"4.5 out of 5 stars
12,391 ratings"
The Strait Path to Real Estate Wealth,,"Narrated by: Kris Krohn, Stephen Miller",,Length: 7 hrs and 1 min,Release date: 04-27-17,Language: English,"4.5 out of 5 stars
257 ratings"
The Opposite of Spoiled,"Raising Kids Who Are Grounded, Generous, and Smart About Money",Narrated by: Ron Lieber,,Length: 6 hrs and 42 mins,Release date: 02-03-15,Language: English,"4.5 out of 5 stars
896 ratings"
The Rise and Fall of the Neoliberal Order,America and the World in the Free Market Era,Narrated by: Keith Sellon-Wright,,Length: 13 hrs and 21 mins,Release date: 08-09-22,Language: English,"4.5 out of 5 stars
62 ratings"
Rule #1,The Simple Strategy for Successful Investing - in Only 15 Minutes a Week!,Narrated by: Marc Cashman,,Length: 11 hrs and 29 mins,Release date: 04-03-06,Language: English,"4.5 out of 5 stars
1,206 ratings"
The Aftermath,The Last Days of the Baby Boom and the Future of Power in America,Narrated by: Matthew Berry,,Length: 12 hrs and 23 mins,Release date: 01-24-23,Language: English,"4 out of 5 stars
30 ratings"
"A Monetary and Fiscal History of the United States, 1961-2021",,Narrated by: Todd McLaren,,Length: 15 hrs and 12 mins,Release date: 10-11-22,Language: English,"4.5 out of 5 stars
34 ratings"
Live WELLthy,"Own Your Worth, Grow Your Wealth",Narrated by: Melissa Moran,,Length: 5 hrs and 32 mins,Release date: 04-11-23,Language: English,Not rated yet
Selling in a Crisis,55 Ways to Stay Motivated and Increase Sales in Volatile Times,Narrated by: Jeb Blount,,Length: 3 hrs and 7 mins,Release date: 11-08-22,Language: English,"5 out of 5 stars
103 ratings"
End the Fed,,Narrated by: Bob Craig,,Length: 6 hrs and 4 mins,Release date: 09-16-09,Language: English,"4.5 out of 5 stars
878 ratings"
Dark Pools,The Rise of the Machine Traders and the Rigging of the U.S. Stock Market,Narrated by: Byron Wagner,,Length: 11 hrs and 36 mins,Release date: 06-12-12,Language: English,"4.5 out of 5 stars
1,147 ratings"
The Spider Network,"The Wild Story of a Math Genius, a Gang of Backstabbing Bankers, and One of the Greatest Scams in Financial History",Narrated by: Mike Chamberlain,,Length: 15 hrs and 31 mins,Release date: 03-21-17,Language: English,"4.5 out of 5 stars
1,055 ratings"
Straight to Hell,"True Tales of Deviance, Debauchery, and Billion-Dollar Deals",Narrated by: Scott Aiello,,Length: 7 hrs and 45 mins,Release date: 07-14-15,Language: English,"4.5 out of 5 stars
1,301 ratings"
Retire Inspired,"It's Not an Age, It's a Financial Number",Narrated by: Chris Hogan,,Length: 9 hrs and 24 mins,Release date: 12-14-15,Language: English,"4.5 out of 5 stars
3,000 ratings"
Narconomics,How to Run a Drug Cartel,Narrated by: Brian Hutchison,,Length: 8 hrs and 57 mins,Release date: 03-15-16,Language: English,"4.5 out of 5 stars
3,707 ratings"
Coming Apart,"The State of White America, 1960–2010",Narrated by: Traber Burns,,Length: 12 hrs and 24 mins,Release date: 02-16-12,Language: English,"4.5 out of 5 stars
752 ratings"
Common Stocks and Uncommon Profits,,Narrated by: George Guidall,,Length: 2 hrs and 55 mins,Release date: 04-27-01,Language: English,"4.5 out of 5 stars
1,223 ratings"
The Complete TurtleTrader,How 23 Novice Investors Became Overnight Millionaires,Narrated by: Joel Richards,,Length: 10 hrs and 8 mins,Release date: 08-31-16,Language: English,"4.5 out of 5 stars
1,009 ratings"
Financial Feminist,Overcome the Patriarchy’s Bullsh*t to Master Your Money and Build a Life You Love,"Narrated by: Tori Dunlap, Samantha Tan, Shayna Small, Jaime Lamchick, Graham Halstead",,Length: 8 hrs and 3 mins,Release date: 12-27-22,Language: English,"4.5 out of 5 stars
216 ratings"
The One-Page Financial Plan,A Simple Way to Be Smart About Your Money,Narrated by: Carl Richards,,Length: 4 hrs and 3 mins,Release date: 03-31-15,Language: English,"4.5 out of 5 stars
243 ratings"
"Money, A Love Story",Untangle Your Financial Woes and Create the Life You Really Want,Narrated by: Kate Northrup,,Length: 6 hrs and 55 mins,Release date: 07-18-16,Language: English,"4.5 out of 5 stars
302 ratings"
Conscious Capitalism,Liberating the Heroic Spirit of Business,Narrated by: Grover Gardner,,Length: 11 hrs and 14 mins,Release date: 04-30-14,Language: English,"4.5 out of 5 stars
862 ratings"
Platform Revolution,How Networked Markets Are Transforming the Economy - and How to Make Them Work for You,Narrated by: James Foster,,Length: 11 hrs and 5 mins,Release date: 03-28-16,Language: English,"4.5 out of 5 stars
1,910 ratings"
Bold,"How to Go Big, Make Bank, and Better the World",Narrated by: Steven Kotler,,Length: 9 hrs and 7 mins,Release date: 02-03-15,Language: English,"4.5 out of 5 stars
3,634 ratings"
